subject,retailer,event,season,discount_pc,discount_money,up_to,sale,free_delivery,name,emoji
Your invite to Boots Christmas shopping event where you can collect extra Advantage Card points ,boots,Christmas,,,,,,,,
"It's here - our Mega Points Event. Hurry, don't miss out",boots,,,,,,,,,
Hurry - last day to collect £10 worth of points in our Mega event,boots,,,,£10,,,,,
Collect £10 worth of points in our Mega Event,boots,,,,£10,,,,,
Great Christmas offers from Boots,boots,Christmas,,,,,,,,
Collect £10 worth of points in our Mega points event,boots,,,,£10,,,,,
"[CUSTOMER_NAME], find out what this week's star gift offer is & hurry for 3 for 2 across selected skincare and bathing products",boots,,,,,,,,[CUSTOMER_NAME],
Find out what this week's star gift offer is,boots,,,,,,,,,
Better than half price on this week's star gift & 3 for 2 on selected skincare,boots,,,,,,,,,
3 for 2 Mix & Match across 1000s of gifts & toys plus Christmas gift guide out soon,boots,Christmas,,,,,,,,
Our Christmas shop is now open plus 3 for 2 Mix & Match across 1000s of gifts & toys,boots,Christmas,,,,,,,,
Love Autumn with our 3 for 2 offers and beauty competition,boots,,Autumn,,,,,,,
3 for 2 on selected cosmetics and haircare products ,boots,,,,,,,,,
"Hurry, last day for Mega points event - collect 10 points for every £1",boots,,,,£1,,,,,
"It's here - Our Bank Holiday Mega Points event. Hurry, don't miss out",boots,Bank Holiday,,,,,,,,
It's arrived! - Mini Club is now available online plus more great offers from Boots,boots,,,,,,,,,
Great Summer deals plus our latest beauty products,boots,,Summer,,,,,,,
Check out this week's offer of the week!,boots,,,,,,,,,
Great offers and triple Advantage Card points!,boots,,,,,,,,,
This week's offer of the week plus lots more great deals!,boots,,,,,,,,,
TODAY ONLY! Online Advantage Card points event. Don't miss out,boots,,,,,,,,,
Boost your Advantage Card points!,boots,,,,,,,,,
"Great deals for your summer holiday, plus extra points on top brands!",boots,,Summer,,,,,,,
Online points event TODAY ONLY!,boots,,,,,,,,,
Create your very own Holiday Hotlist!,boots,,,,,,,,,
Great summer savings!,boots,,Summer,,,,,,,
3 for 2 across a range of products to help you get set for summer,boots,,Summer,,,,,,,
Collect 10 points per £1 at our mega points event!,boots,,,,£1,,,,,
Get summer ready with our great offers!,boots,,Summer,,,,,,,
Latest beauty & weight loss offers plus new Boots Smooth Skin Plus,boots,,,,,,,,,
Get a new look for the new season!,boots,,,,,,,,,
New beauty products and offers galore!,boots,,,,,,,,,
Get a new look for a new you!,boots,,,,,,,,,
Great savings in our biggest ever baby event!,boots,,,,,,,,,
Our biggest ever baby event + prepare for summer,boots,,Summer,,,,,,,
There's still time to order in time for Mother's Day!,boots,Mother's Day,,,,,,,,
More great value offers from Boots + Mother's Day inspiration,boots,Mother's Day,,,,,,,,
Don't miss out on our fantastic Skincare Event,boots,,,,,,,,,
Great value Soap & Glory Bundle + Great Big Skincare Event,boots,,,,,,,,,
"It's back, the big Soap & Glory Beauty Bundle",boots,,,,,,,,,
Save with our Great Big Skincare Event!,boots,,,,,,,,,
Great offers plus get free standard delivery on orders over £40!,boots,,,,£40,,,,,
3 for 2 on selected No7 and lots more offers!,boots,,,,,,,,,
Great new products and Valentine's offers,boots,Valentine's,,,,,,,,
Get ready for Valentine's Day with our great offers and advice,boots,Valentine's,,,,,,,,
NEW Boots Pharmaceuticals range,boots,,,,,,,,,
New beauty plus your chance to win with Jimmy Choo!,boots,,,,,,,,,
Gorgeous gifts and fantastic offers!,boots,,,,,,,,,
Great gift ideas at Boots,boots,,,,,,,,,
Get in the mood for Christmas with our great offers and beauty gifts,boots,Christmas,,,,,,,,
This week's gift of the week and many more great offers,boots,,,,,,,,,
Collect 10 points for every £50 you spend this weekend,boots,,,,£50,,,,,
Take a look at our Christmas offers plus your chance to WIN a trip to New York,boots,Christmas,,,,,,,,
Get extra points on Christmas gifts with Boots Treat Street,boots,Christmas,,,,,,,,
Your exclusive invitation to our Advantage Card Customer evenings.,boots,,,,,,,,,
Get ready for the party season with our great offers,boots,,,,,,,,,
Discover our gift of the week + earn extra points this weekend only,boots,,,,,,,,,
Discover our first gift of the week...,boots,,,,,,,,,
Great fragrance exclusives plus top tips for Autumn indulgence,boots,,Autumn,,,,,,,
New season must-have beauty buys plus your chance to win a holiday for 2 to Marrakesh,boots,,,,,,,,,
No7's latest skincare innovation revealed,boots,,,,,,,,,
This week's great offers from Boots,boots,,,,,,,,,
Collect extra points this weekend plus your chance to win a luxury spa break,boots,,,,,,,,,
NEW No7 Exceptional Definition mascara + great summer offers,boots,,Summer,,,,,,,
"When it's gone, it's gone! Don't miss out on our great savings",boots,,,,,,,,,
"Holiday offers, new FitFlop styles and triple points on selected fragrance",boots,,,,,,,,,
Great holiday offers and the chance to win a Giorgio Armani couture handbag,boots,,,,,,,,,
Great holiday offers plus NEW Fitflop styles,boots,,,,,,,,,
Fantastic summer offers + new Rapidlash Eyelash Enhancing Serum,boots,,Summer,,,,,,,
WIN a pampering holiday to Barbados!,boots,,,,,,,,,
Great holiday offers plus free 7 day trial with Bootsdiets.com,boots,,,,,,,,,
Let the holiday begin with our great offers!,boots,,,,,,,,,
More fantastic offers plus your chance to WIN a pampering holiday,boots,,,,,,,,,
Introducing TOM FORD on Boots.com,boots,,,,,,,,,
Don't forget Dad - fab Father's Day gift ideas,boots,Father's Day,,,,,,,,
Enjoy your Summer with our offers and competition,boots,,Summer,,,,,,,
3 for 2 offers on 1000s of hair and beauty products,boots,,,,,,,,,
Get ready for Summer with the girls at Boots,boots,,Summer,,,,,,,
Level-Up Your Loungewear in our Winter Sale,british boxers,,Winter,,,,sale,,,
Our Winter Sale Event has begun!,british boxers,,Winter,,,,sale,,,
Loads of items BACK IN STOCK for our Winter Sale Event!,british boxers,,Winter,,,,sale,,,
The Long & Short of It – PJ Bottoms in our Winter Sale,british boxers,,Winter,,,,sale,,,
Stornoway Herringbone REDUCED in our Winter Sale Event!,british boxers,,Winter,,,,sale,,,
Perfect Pairs – Valentine’s Day Underwear Gifts,british boxers,,,,,,,,,
Half Price Undies are back!,british boxers,,,,,,,,,
Half Price Undies & 20% OFF Brushed Cotton Sleepwear!,british boxers,,,20%,,,,,,
SALE ENDING SOON – 20% OFF Brushed Cottons & Half Price Undies,british boxers,,,20%,,,sale,,,
Viral on Twitter...again,british boxers,,,,,,,,,
FINAL Chance for 20% OFF our Brushed Cotton Sleepwear,british boxers,,,20%,,,,,,
Rising Tides – the new price of luxurious sleep,british boxers,,,,,,,,,
Two for the price of One on Nightwear Lucky Dips!,british boxers,,,,,,,,,
Twice As Nice - 2 for 1 Nightwear with our Lucky Dips!,british boxers,,,,,,,,,
Double Take - 2 for 1 Nightwear with our Lucky Dips!,british boxers,,,,,,,,,
Step into Spring in our brand new Chelsea Flower range,british boxers,,Spring,,,,,,,
Upgrade your downtime with our new Winchester Stripe range,british boxers,,,,,,,,,
FLASH SALE! 20% OFF Nightwear this week!,british boxers,,,20%,,,sale,,,
FLASH SALE continues! 20% OFF Nightwear + 50% OFF Socks this week!,british boxers,,,20%,,,sale,,,
Be bright and breezy in our new Flower Bed range,british boxers,,,,,,,,,
We've Moved! See our new warehouse & save on nightwear!,british boxers,,,,,,,,,
Bamboo is back – underwear comes in a new fabric!,british boxers,,,,,,,,,
The afternoon that kept on giving,british boxers,,,,,,,,,
Celebration Stripes – Happy Jubilee Everyone!,british boxers,,,,,,,,,
Opt out of Father's Day emails,british boxers,Father's Day,,,,,,,,
Fathers & Business,british boxers,,,,,,,,,
It’s last orders at the Father’s Day bar!,british boxers,,,,,,,,,
Ladies' Night – 20% OFF Sleepwear,british boxers,,,20%,,,,,,
Casualwear is Here!,british boxers,,,,,,,,,
Our Summer Sale Begins! Up to 50% OFF selected items,british boxers,,Summer,50%,,up to,sale,,,
Our Summer Sale Begins! Up to 64% OFF selected items,british boxers,,Summer,64%,,up to,sale,,,
Summer Sale – Up to 64% OFF selected items,british boxers,,Summer,64%,,up to,sale,,,
Warehouse Update,british boxers,,,,,,,,,
Photoshoot Sneak Preview! 📸,british boxers,,,,,,,,,emoji
Chapel Down - Newsletter subscription success,chapel down,,,,,,,,,
An apology for the delay to your recent Chapel Down order,chapel down,,,,,,,,,
Celebrate VE Day 75 with Chapel Down,chapel down,,,,,,,,,
May Newsletter,chapel down,,,,,,,,,
Celebrate this Father’s Day with Curious Brewery,chapel down,,,,,,,,,
Chapel Down June Offers,chapel down,,,,,,,,,
Spirit of the Winemaker,chapel down,,,,,,,,,
Celebrate English Wine Week with Chapel Down,chapel down,,,,,,,,,
June Newsletter,chapel down,,,,,,,,,
An important message from Chapel Down,chapel down,,,,,,,,,
Celebrate with Chapel Down's Kit's Coty Collection,chapel down,,,,,,,,,
Customer account confirmation,chapel down,,,,,,,,,
Celebrate National Picnic Month in the Garden of England,chapel down,,,,,,,,,
Have a taste of Bacchus this summer with FREE DELIVERY,chapel down,,Summer,,,,,free delivery,,
A selection of August Offers from Chapel Down,chapel down,,,,,,,,,
Chill with Chapel Down Spirits,chapel down,,,,,,,,,
Celebrate the Bank Holiday weekend with Chapel Down,chapel down,Bank Holiday,,,,,,,,
Curious Brewery Restaurant and Bar to re-open!,chapel down,,,,,,,,,
Chapel Down Award-Winning Wines and Spirits!,chapel down,,,,,,,,,
Chapel Down Harvest,chapel down,,,,,,,,,
Good beer makes great wine this harvest!,chapel down,,,,,,,,,
Meet Our Team & Exclusive October Offers 🥂,chapel down,,,,,,,,,emoji
Receive a free drink at the Curious Brewery Restaurant and October Offers 🍻,chapel down,,,,,,,,,emoji
Wind down this autumn with our Great Minds Drink Alike Syrah 🍷,chapel down,,Autumn,,,,,,,emoji
Uplift your spirits with Chapel Down!🍸,chapel down,,,,,,,,,emoji
Chapel Down Autumn Update,chapel down,,Autumn,,,,,,,
November Offers,chapel down,,,,,,,,,
Dazzle this Winter with Chapel Down Sparkling Wines 🥂,chapel down,,Winter,,,,,,,emoji
Seasonal Tasting Cases & Our Winemaker’s Food Pairings 🎄,chapel down,,,,,,,,,emoji
Coming Soon… Chapel Down Black Friday Event⚠️,chapel down,Black Friday,,,,,,,,emoji
Chapel Down Black Friday Event,chapel down,Black Friday,,,,,,,,
Chapel Down Gift Guide & An Exclusive Curious Beer Offer 🎁,chapel down,,,,,,,,,emoji
Celebrate in style this Christmas with Chapel Down,chapel down,Christmas,,,,,,,,
"It's one week until Christmas, pop into our shops for last minute gifts! 🎁🎄",chapel down,Christmas,,,,,,,,emoji
2021. A year to believe in better.,chapel down,,,,,,,,,
Chapel Down Important Customer Update,chapel down,,,,,,,,,
New Year. New Resolve. Go bananas. 🥂,chapel down,,,,,,,,,emoji
An Ode to Try January,chapel down,,,,,,,,,
Win a year’s supply of Chapel Down wine!,chapel down,,,,,,,,,
Reignite the spark this Valentine’s Day ❤️,chapel down,,,,,,,,,emoji
The Chapel Down Valentine’s Gift Guide❤️ Share the Love!,chapel down,,,,,,,,,emoji
Culture Vulture? Free Virtual Screening of the Donmar Warehouse's St Nicholas,chapel down,,,,,,,,,
"Grape Britain- Bacchus Edition- Buy 1 Case, Get the 2nd Half Price!",chapel down,,,,,,,,,
Elevate a G&T - Pinot Noir Gin BACK IN STOCK!,chapel down,,,,,,,,,
"Grape Britain - Pinot Blanc Edition - Buy 1 Case, Get the 2nd Half Price!",chapel down,,,,,,,,,
Chapel Down Winery shop to reopen on the 31st March!,chapel down,,,,,,,,,
Win a UK Glamping Break with Chapel Down! 🏕️🥂,chapel down,,,,,,,,,emoji
FLASH SALE & NEW APRIL OFFERS,chapel down,,,,,,sale,,,
Chef Partnership Virtual Tasting Launch & WIN a Signed Jeroboam! 🍾,chapel down,,,,,,,,,emoji
"Grape Britain - Chardonnay Edition - Buy 1 Case, Get our Latest Vintage Free!",chapel down,,,,,,,,,
